Distrito,Establecimiento,Dirección,Teléfono,Precio de Venta (Soles por galón)
CANTA,EMPRESA INDUSTRIAL COMERCIAL Y DE SERVICIOS MATILDE LEON S.A.,CALLE RAMON CASTILLA S/N ESQUINA AV. NUEVA,,17.0
No existen registros.,No existen registros.,No existen registros.,No existen registros.,No existen registros.
SANTA ROSA DE QUIVES,MEGA ESTACION DE SERVICIOS INVERSOL S.A.,"CARRETERA LIMA-CANTA, KM. 40, ZAPAN P-14, PROYECTO TAHUANTINSUYO",994979790,16.14
SANTA ROSA DE QUIVES,MIOLENA S.A.,CARRETERA LIMA – CANTA KM. 36.85,,16.15
SANTA ROSA DE QUIVES,GRIFO SAN IGNACIO S.A.C,"PREDIO RURAL UBICA RURAL CE 288944 CN 8780634 CODIGO PREDIO/8-2858705 - 00030 UNIDAD CATASTRAL 00030/PREDIO PARCELA 31, LT1",,16.15
SANTA ROSA DE QUIVES,GLODY ZUÑIGA SANCHEZ,"CENTRO POBLADO COCAYALTA, CARRETERA LIMA-CANTA, KM. 48.5 CON JR. JESUS DE NAZARET",985962499/954870703,16.29
SANTA ROSA DE QUIVES,GRIFO YANGAS,PREDIO BENDITA MAGDALENA UC 04169,947929540/983864995,16.38
SANTA ROSA DE QUIVES,GASOCENTRO TADUP SAC,KM. 39.5 CARRETERA A CANTA - PUEBLO TRAPICHE,951524995/981657561,16.49
CANTA,EMPRESA INDUSTRIAL COMERCIAL Y DE SERVICIOS MATILDE LEON S.A.,CALLE RAMON CASTILLA S/N ESQUINA AV. NUEVA,,19.0
MALA,GRUPO EMPRESARIAL NONATO E.I.R.L.,"CARRETERA PANAMERICANA SUR KM. 87.5 LOTE 01 ESQUINA CON PASAJE PALOMINO (UC 11676 SALITRE BUJAMA, SECTOR PAMPA BARCELONA)",,15.9
MALA,PRISER INVERSIONES S.A.C.,PREDIO RURAL MARCHAND SECTOR MALA CODIGO CATASTRAL 8-3208600-019052 PROYECTO PREDIOS DE MALA VALLE MALA,999228026,15.99
MALA,GRIFOSA SAC,CARRETERA PANAMERICANA SUR KM. 86.5,963764138/994602464,15.99
MALA,SOLIER REYNOSO RAUL HUMBERTO,"PARCELA 101A, UC 12167, LOTES 12 AL 6 PROYECTO SAN PEDRO DE MALA, SECTOR BUJAMA",,15.99
IMPERIAL,COMPAÑIA DE COMBUSTIBLES DEL SUR S.A.C.,AV. VILLARREAL MZ. B LOTE. 33 ANEXO VILLARREAL,999083491,16.28
CHILCA,ESTACIÓN DE SERVICIOS PASO DE LOS ANDES S.A.C.,PANAMERICANA SUR KM. 57.4,012718701/012319499,16.29
CHILCA,ESTACION 715 PETRO CHILCA,"MZ. N, LOTE 02, ALTURA KM. 63.50 CARRETERA PANAMERICANA SUR LADO IZQUIERDO SENTIDO LIMA - CAÑETE",015342336,16.32
SAN ANTONIO,J.W. OLIVER S.A.C.,"PARCELA Nº 24, CODIGO CATASTRAL 11251 - PAMPA LA VIRGEN – SAN ANTONIO U. C. 11251 - P.O. 3141198 ALTURA CARRETERA PANAMERICANA SUR KM. 76.700",,16.37
NUEVO IMPERIAL,EMPRESA DE TRANSPORTES IMPERIAL NUEVO IMPERIAL LA FLORIDA Nº 06 S.A.,"LOTIZACION EL CONDE, LOTE 1, PARCELA P-87-1",,16.58
IMPERIAL,ESTACION DE SERVICIOS MONTECRUZ S.A.C.,RESIDENCIAL VILLA VICENTE MZ. 'H2' LOTE 01 CARRETERA CAÑETE - YAUYOS,,16.78
CHILCA,ES CHILCA COESTI PRIMAX,AUTOPISTA PANAMERICANA SUR KM. 63.5,5112033100/012080100/987862400,16.79
SAN VICENTE DE CAÑETE,COMBUSTIBLES ICA S.A.,CARRETERA PANAMERICANA SUR KM. 143,012661515,16.79
MALA,GRIFO KAREN & CAROL SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA,AV. PANAMERICANA N° 352,015309662,16.86
MALA,REPSOL COMERCIAL S.A.C.,AUTOPISTA CARRETERA PANAMERICANA SUR KM. 88,012765939,16.99
MALA,REPSOL COMERCIAL S.A.C.,CARRETERA PANAMERICANA SUR KM 88,,16.99
SAN VICENTE DE CAÑETE,ESTACION SR DE LA ASCESION DE CACHUY SAC,CARRETERA PANAMERICANA SUR KM. 145.25,949862589,16.99
SAN VICENTE DE CAÑETE,SILVIA AMANDA DIAZ CALDERON,CARRETERA PANAMERICANA SUR KM. 144.5,932110580,16.99
CERRO AZUL,AUTOSERVICIO CASA BLANCA S.A.C.,ANTIGUA PANAMERICANA SUR KM 134.5,965116086,17.0
SAN VICENTE DE CAÑETE,AUTOPASA EIRL,CARRETERA PANAMERICANA SUR KM. 142.5,975064338,17.1
SAN LUIS,GRIFO CENTRAL SAC,AV. 28 DE JULIO N° 152,987803875,17.1
QUILMANA,SERVICENTRO RUEDA,LT. 19 - 2 CINCO ESQUINAS - CARRETERA DE IMPERIAL A QUILMANA (EX ANTIGUA PANAMERICANA),955568924/955340720,17.29
NUEVO IMPERIAL,ESTACION DE SERVICIOS ROMA,"AV. CENTRO POBLADO PUEBLO NUEVO DE CONTA, AV. VICTOR ANDRES BELAUNDE MZ. X2 LOTE 6",947194433/955340720,17.29
IMPERIAL,SERVICENTRO VIRGEN DE COCHARCAS S.A.C.,"URB. LOS LAURELES, MZ. A LT. N° 1",015897024/949809337,17.37
SAN VICENTE DE CAÑETE,EMPRESA HUPESA S.A.C.,"AV. MARISCAL OSCAR R. BENAVIDES (AUTOPISTA SAN VICENTE - IMPERIAL), SECTOR EL CHILCAL U.C. 06620 PARCELA 1, SUB LOTE A",989507254,17.39
MALA,RENSO & RUTH INVERSIONES ASOCIADAS S.A.C.,ANTIGUA PANAMERICANA SUR PARCELA UC 02547-A,,17.4
SAN ANTONIO,RENSO & RUTH INVERSIONES ASOCIADAS S.A.C,"AV. LIBERTAD MZ. F, LOTE 17.",,17.4
QUILMANA,JESUS PRIMITIVO RUEDA CAYCHO,ESQUINA AV. LIMA CON JR. CALLAO,,17.49
SAN VICENTE DE CAÑETE,REPRESENTACIONES FLORENCIO S.A.C.,CARRETERA PANAMERICANA SUR KM. 148.4,017914118/017753342,17.5
QUILMANA,AR ENERGIA S.A.C.,CARRETERA IMPERIAL - QUILMANA S/N FUNDO HUAMAN DE LOS HEROES,959374819,17.69
QUILMANA,EMPRESA DE TRANSPORTES VIRGEN DE LA CANDELARIA S.A.,"CARRETERA IMPERIAL QUILMANA, KM. 12 PREDIO UC N° 10758A SECTOR 5 ESQUINAS",,17.69
SAN VICENTE DE CAÑETE,PROYECTO INVERSIONES JM S.R.L.,AV. MARISCAL BENAVIDES N° 1399,,17.88
SAN VICENTE DE CAÑETE,ESCOH S.A.C.,"AUTOPISTA IMPERIAL - SAN VICENTE (ALTURA KM. 4.00), AV. MARISCAL BENAVIDES SUB LOTE 1B",955108634,17.88
SAN VICENTE DE CAÑETE,GRIFOS ESPINOZA S.A.,"NUMERO DE PARCELA SUB LOTE A, CODIGO CATASTRAL SECTOR MONTALVAN, PROYECTO TERCER MUNDO VALLE CAÑETE",965948536,17.89
ASIA,ASIA GRIFOS Y SERVICIOS GENERALES S.A.C.,CARRETERA PANAMERICANA SUR KM. 97.5,936834861,17.98
MALA,INVERSIONES MALVELLIZ S.R.L.,AV. PANAMERICANA SUR NO. 630,963830360,17.99
ASIA,ES ASIA COESTI PRIMAX,"CARRETERA PANAMERICANA SUR KM 97.5 LOTE 30, FUNDO LA QUERENCIA",5112033100/2080100/978920612,17.99
NUEVO IMPERIAL,CARLOS ENRIQUE VICENTE HUAMAN,AV. VICTOR ANDRES BELAUNDE MZ. D2 LT. 1K PUEBLO NUEVO DE CONTA,,18.0
ASIA,ESTACION DE SERVICIOS SAN JOSE S.A.C.,KM. 98.20 AUTOPISTA PANAMERICANA SUR,,18.03
CERRO AZUL,ESTACION CERRO AZUL S.A.C.,CARRETERA PANAMERICANA SUR KM. 133,014584556/997581945/989320309,18.19
